cunia,diaro
duzinã,duzinâ
d̦amã,d̦amâ
d̦eanã,d̦eanâ
d̦uuã,d̦uuâ
d̦ã,d̦â
d̦ãcu,d̦âcu
d̦ãnã,d̦ânâ
d̦ãsã,d̦âsâ
dãmarã,dâmarâ
dãnãsescu,dânâsescu
elpidhã,elpidhâ
emburlãki,emburlâki
erã,erâ
eshtsã,eșțâ
etã,etâ
evã,evâ
fabricã,fabricâ
facã,facâ
fandazmã,fandazmâ
faptã,faptâ
farã,farâ
fatsã,fațâ
favricã,favricâ
featã,featâ
figurã,figurâ
filã,filâ
firidã,firidâ
firitã,firitâ
firmã,firmâ
fiticã,fiticâ
fititsã,fitițâ
flamburã,flamburâ
fleamã,fleamâ
florã,florâ
fortsã,forțâ
fortumã,fortumâ
fricã,fricâ
fripturã,fripturâ
frund̦ã,frund̦â
frunzã,frunzâ
frãmti,frâmti
frãnd̦ã,frând̦â
frãntsescu,frânțescu
frãtsescu,frâțescu
fucurinã,fucurinâ
fud̦itã,fud̦itâ
fugã,fugâ
furlãki,furlâki
furtunã,furtunâ
fustã,fustâ
fãnico,fânico
fãrinã,fârinâ
fãtseari,fâțeari
galbinã,galbinâ
gamã,gamâ
gazetã,gazetâ
ghelã,ghelâ
ghesã,ghesâ
ghiftã,ghiftâ
ghineatsã,ghineațâ
ghitã,ghitâ
giocã,giocâ
giucãtoru,giucâtoru
giudicatã,giudicatâ
giumiticã,giumiticâ
giuneatsã,giuneațâ
gljeatsã,gľeațâ
glãrimi,glârimi
goadã,goadâ
grand̦ã,grand̦â
granitsã,granițâ
greatsã,greațâ
grendã,grendâ
grindinã,grindinâ
gritã,gritâ
groapã,groapâ
grãdinã,grâdinâ
grãmadã,grâmadâ
grãtsescu,grâțescu
gurã,gurâ
guvã,guvâ
gãgoashi,gâgoași
gãili,gâili
gãljinatu,gâľinatu
gãljinã,gâľinâ
gãrnu,gârnu
gãrtsescu,gârțescu
gãscã,gâscâ
halcumã,halcumâ
halã,halâ
hapcã,hapcâ
harauã,harauâ
hartã,hartâ
hauã,hauâ
heamã,heamâ
heavrã,heavrâ
himã,himâ
hlamburã,hlamburâ
hoarã,hoarâ
hopã,hopâ
hranã,hranâ
hromã,hromâ
hrãnescu,hrânescu
hulerã,hulerâ
huryeatã,huryeatâ
hãbari,hâbari
hãgilãki,hâgilâki
hãiri,hâiri
hãirlãticu,hâirlâticu
hãlati,hâlati
hãpsani,hâpsani
hãriosu,hâriosu
hãrisescu,hârisescu
hãrnescu,hârnescu
hãrsescu,hârsescu
hãrãcopu,hârâcopu
hãrãsescu,hârâsescu
hãzãri,hâzâri
iadirã,iadirâ
iapã,iapâ
iaranã,iaranâ
iarbã,iarbâ
iarnã,iarnâ
iarã,iarâ
iatã,iatâ
icoanã,icoanâ
imnatã,imnatâ
inimã,inimâ
inshitã,inșitâ
intratã,intratâ
ishitã,ișitâ
itsrãlji,ițrâľi
iurnecã,iurnecâ
izbã,izbâ
jgljioatã,jgľioatâ
junã,junâ
keadicã,keadicâ
keatrã,keatrâ
kicutã,kicutâ
kicã,kicâ
kipitã,kipitâ
kisã,kisâ
lacrimã,lacrimâ
lasã,lasâ
lavdã,lavdâ
lavã,lavâ
ligãnari,ligânari
limbã,limbâ
lipã,lipâ
lirã,lirâ
livindeatsã,livindeațâ
luatã,luatâ
lucrãtoru,lucrâtoru
luminã,luminâ
lumtã,lumtâ
lungã,lungâ
lunjinã,luńinâ
lunã,lunâ
luptã,luptâ
lã,lâ
lãhtari,lâhtari
lãhtãrosu,lâhtârosu
lãitu,lâitu
lãnd̦itu,lând̦itu
lãngoari,lângoari
lãnã,lânâ
lãrd̦imi,lârd̦imi
lãrguriu,lârguriu
maicã,maicâ
mamã,mamâ
manliherã,manliherâ
manã,manâ
marcã,marcâ
marmurã,marmurâ
marã,marâ
mbãreatsã,mbâreațâ
measã,measâ
mengã,mengâ
meturã,meturâ
minciunã,minciunâ
minticã,minticâ
mintiturã,mintiturâ
mintsã,mințâ
minutã,minutâ
mirã,mirâ
misurã,misurâ
mitã,mitâ
mnatã,mnatâ
moarã,moarâ
mostrã,mostrâ
mpriunã,mpriunâ
mpãrmutu,mpârmutu
mucearã,mucearâ
muljireascã,muľireascâ
mumã,mumâ
murmintsã,murmințâ
muscã,muscâ
mushcã,mușcâ
mushiteatsã,mușiteațâ
mushuteatsã,mușuteațâ
mustacã,mustacâ
mutritã,mutritâ
muzicã,muzicâ
muzã,muzâ
mãcari,mâcari
mãnaru,mânaru
mãncu,mâncu
mãnicã,mânicâ
mãnii,mânii
mãnushi,mânuși
mãnãstiru,mânâstiru
mãrcatu,mârcatu
mãreatsã,mâreațâ
mãrescu,mârescu
mãrilji,mâriľi
mãriri,mâriri
mãritu,mâritu
mãrtirii,mârtirii
mãrtirisescu,mârtirisescu
mãrturii,mârturii
mãshcãturã,mâșcâturâ
mãshi,mâși
mãyipsescu,mâyipsescu
mãyulã,mâyulâ
mãyãzii,mâyâzii
nafoarã,nafoarâ
nastãnga,nastânga
nauã,nauâ
ncãrcatu,ncârcatu
ndoauã,ndoauâ
nd̦eanã,nd̦eanâ
neauã,neauâ
nfãrmãcosu,nfârmâcosu
ngrãpsescu,ngrâpsescu
ngãtanu,ngâtanu
nheamã,nheamâ
nicukiratã,nicukiratâ
niheamã,niheamâ
niscãnti,niscânti
nitsã,nițâ
niveastã,niveastâ
njead̦ã,ńead̦â
njilã,ńilâ
njirlã,ńirlâ
njiurizmã,ńiurizmâ
njizã,ńizâ
noastrã,noastrâ
noastã,noastâ
noauã,noauâ
noimã,noimâ
ntrã,ntrâ
ntunicatã,ntunicatâ
ntunicã,ntunicâ
ntãnji,ntâńi
nucã,nucâ
nulã,nulâ
numtã,numtâ
numã,numâ
nuntã,nuntâ
nunã,nunâ
nveastã,nveastâ
nvitsãturã,nvițâturâ
nã,nâ
nãdii,nâdii
nãdãescu,nâdâescu
nãheamã,nâheamâ
nãintea,nâintea
nãinti,nâinti
nãmuzi,nâmuzi
nãnti,nânti
nãoarã,nâoarâ
nãpoi,nâpoi
nãs,nâs
nãsa,nâsa
nãshi,nâși
nãsi,nâsi
nãslu,nâslu
nãsu,nâsu
nãuntru,nâuntru
oalã,oalâ
oarfãnu,oarfânu
oarã,oarâ
oauã,oauâ
odã,odâ
palmã,palmâ
panã,panâ
papã,papâ
patã,patâ
peanã,peanâ
petalã,petalâ
pezã,pezâ
piatsã,piațâ
picurãrescu,picurârescu
pirã,pirâ
pishtireauã,piștireauâ
pispilitã,pispilitâ
pitreacã,pitreacâ
pitã,pitâ
plasã,plasâ
platã,platâ
pleacã,pleacâ
pliscutã,pliscutâ
pluinã,pluinâ
plãngu,plângu
plãtescu,plâtescu
plãtsintã,plâțintâ
poalã,poalâ
poartã,poartâ
politsã,polițâ
poshtã,poștâ
postã,postâ
pradã,pradâ
pravdã,pravdâ
pricã,pricâ
primuvearã,primuvearâ
primãvearã,primâvearâ
princã,princâ
pringã,pringâ
printrã,printrâ
prisuprã,prisuprâ
provã,provâ
prunã,prunâ
prãmãteftu,prâmâteftu
prãmãtii,prâmâtii
prãnd̦u,prând̦u
psãltisescu,psâltisescu
ptsãnu,pțânu
puiatã,puiatâ
pungã,pungâ
putanã,putanâ
putsã,puțâ
putsãnu,puțânu
pãduri,pâduri
pãduriljei,pâduriľei
pãlati,pâlati
pãltescu,pâltescu
pãmãntu,pâmântu
pãn,pân
pãnd̦ã,pând̦â
pãni,pâni
pãnticã,pânticâ
pãnãyiru,pânâyiru
pãpushi,pâpuși
pãputsã,pâpuțâ
pãrad̦,pârad̦
pãreari,pâreari
pãrinti,pârinti
pãrmithu,pârmithu
pãrmãteftu,pârmâteftu
pãrmãtii,pârmâtii
pãrãsescu,pârâsescu
pãrãstisescu,pârâstisescu
pãrãvulii,pârâvulii
pãshuni,pâșuni
pãstrari,pâstrari
pãstred̦u,pâstred̦u
pãtid̦atu,pâtid̦atu
pãtigiuni,pâtigiuni
pãturi,pâturi
pãturicã,pâturicâ
pãzari,pâzari
rasã,rasâ
ratsã,rațâ
riglã,riglâ
roatã,roatâ
rutsã,ruțâ
rãmãnu,râmânu
saltsã,salțâ
salã,salâ
sapã,sapâ
saricã,saricâ
sartsinã,sarținâ
scafã,scafâ
scamã,scamâ
scarã,scarâ
scriatã,scriatâ
scriiturã,scriiturâ
scurtã,scurtâ
scuturã,scuturâ
scãdeari,scâdeari
scãd̦utu,scâd̦utu
scãndurã,scândurâ
scãricã,scâricâ
scãrminari,scârminari
searã,searâ
seatsirã,seațirâ
sfacã,sfacâ
shcarpã,șcarpâ
shcurtã,șcurtâ
shicãgi,șicâgi
sicarã,sicarâ
silã,silâ
sireauã,sireauâ
sirmã,sirmâ
sitã,sitâ
slabã,slabâ
slãbintsã,slâbințâ
slãghescu,slâghescu
slãghitu,slâghitu
soatsã,soațâ
sorã,sorâ
spitsã,spițâ
splinã,splinâ
spãtaru,spâtaru
steauã,steauâ
stihimã,stihimâ
stizmã,stizmâ
strigã,strigâ
strã,strâ
strãbatu,strâbatu
strãxescu,strâxescu
strãxitu,strâxitu
stã,stâ
stãnga,stânga
stãpuescu,stâpuescu
sulã,sulâ
sumã,sumâ
suprã,suprâ
sutsatã,suțatâ
sutã,sutâ
sã,sâ
sãhati,sâhati
sãmtu,sâmtu
sãnd̦i,sând̦i
sãntu,sântu
sãnãtosu,sânâtosu
sãpunaru,sâpunaru
sãrbescu,sârbescu
sãrbãtoare,sârbâtoare
sãrindari,sârindari
tablã,tablâ
tahinimã,tahinimâ
tarã,tarâ
tatã,tatâ
tavernã,tavernâ
teacã,teacâ
tendã,tendâ
tetã,tetâ
thamã,thamâ
theaminã,theaminâ
themã,themâ
tinireatsã,tinireațâ
tisagã,tisagâ
tisã,tisâ
toacã,toacâ
toamnã,toamnâ
toanã,toanâ
toarã,toarâ
topcã,topcâ
topã,topâ
tragã,tragâ
treacã,treacâ
treatsitã,treațitâ
tricãtoari,tricâtoari
troarã,troarâ
trusã,trusâ
trãd̦eari,trâd̦eari
tsarã,țarâ
tseapã,țeapâ
tsearã,țearâ
tsinã,ținâ
tsisprãd̦atsi,țisprâd̦ați
tsã,țâ
tsãni,țâni
tsãnu,țânu
tsãnutu,țânutu
tsãsãturã,țâsâturâ
turmã,turmâ
turnatã,turnatâ
turnã,turnâ
turtã,turtâ
turã,turâ
tutiputã,tutiputâ
tutã,tutâ
tuvlã,tuvlâ
tãburi,tâburi
tãljiturã,tâľiturâ
tãrd̦ãu,târd̦âu
tãshi,tâși
tãtseari,tâțeari
tãxescu,tâxescu
tãxitu,tâxitu
udãturã,udâturâ
ulitsã,ulițâ
umbrelã,umbrelâ
umbrã,umbrâ
und̦itã,und̦itâ
undã,undâ
unoarã,unoarâ
unã,unâ
unãsprã,unâsprâ
unãsprãyinghits,unâsprâyinghiț
urmã,urmâ
ursã,ursâ
uruteatsã,uruteațâ
uspitlãki,uspitlâki
uspitsãlji,uspițâľi
vacã,vacâ
varcã,varcâ
vatrã,vatrâ
vearã,vearâ
videalã,videalâ
vid̦utã,vid̦utâ
vilend̦ã,vilend̦â
vilã,vilâ
vinitã,vinitâ
vinã,vinâ
virdeatsã,virdeațâ
viryirã,viryirâ
vitsinatã,viținatâ
vitsinãtati,viținâtati
vizitã,vizitâ
vlãngã,vlângâ
voahã,voahâ
voastrã,voastrâ
voltã,voltâ
vranã,vranâ
vulerã,vulerâ
vulã,vulâ
vãndaki,vândaki
vãr,vâr
vãrnu,vârnu
vãroarã,vâroarâ
vãrstã,vârstâ
vãrtosu,vârtosu
vãsilii,vâsilii
vãsilikescu,vâsilikescu
vãsiloanji,vâsiloańi
vãtãmari,vâtâmari
vãtãmatu,vâtâmatu
xeanã,xeanâ
xinãtati,xinâtati
zeanã,zeanâ
